peak_name,year,season,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used
Nemjung,1983,Autumn,Success (main peak),7140.0,6,0,3,0,False
Himalchuli East,1983,Autumn,Accident (death or serious injury),6500.0,9,2,2,0,False
Kang Guru,1983,Autumn,Success (main peak),6981.0,10,0,4,0,True
Makalu,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6700.0,4,0,0,0,False
Makalu,1983,Autumn,Accident (death or serious injury),7600.0,4,2,1,0,False
Nilgiri North,1983,Autumn,Success (main peak),7061.0,8,0,1,0,True
Annapurna III,1983,Autumn,"Bad weather (storms, high winds)",7135.0,5,0,1,0,False
Annapurna III,1983,Autumn,Accident (death or serious injury),6300.0,4,1,0,0,False
Dhaulagiri VI,1983,Autumn,Success (main peak),7268.0,5,0,0,0,False
Lhotse Shar,1983,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",7925.0,3,0,0,0,False
Manaslu,1983,Autumn,Success (main peak),8163.0,3,0,2,0,False
Manaslu,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7400.0,5,0,3,0,False
Annapurna I,1983,Autumn,Accident (death or serious injury),6700.0,9,1,4,2,False
Annapurna I,1983,Autumn,"Bad weather (storms, high winds)",6250.0,13,0,4,0,False
Annapurna I,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,7,0,3,0,False
Cho Oyu,1983,Autumn,"Bad weather (storms, high winds)",6500.0,6,0,3,0,False
Cho Oyu,1983,Autumn,"Bad weather (storms, high winds)",7730.0,11,0,5,0,False
Numbur,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5900.0,7,0,2,0,False
Churen Himal West,1983,Autumn,Accident (death or serious injury),6850.0,15,2,3,0,False
Gaurishankar,1983,Autumn,Success (subpeak),7010.0,15,0,0,0,False
Ganesh III,1983,Autumn,Accident (death or serious injury),6800.0,12,1,0,0,False
Ganesh IV,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,4,0,2,0,False
Kangtega,1983,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6250.0,6,0,4,1,False
Ama Dablam,1983,Autumn,Success (main peak),6814.0,17,2,5,0,False
Ama Dablam,1983,Autumn,Success (main peak),6814.0,13,0,4,0,False
Chobuje,1983,Autumn,Accident (death or serious injury),6150.0,12,2,0,0,False
Glacier Dome,1983,Autumn,Other,6500.0,4,0,0,0,False
Glacier Dome,1983,Autumn,Success (main peak),7069.0,17,0,4,0,False
Kangchenjunga,1983,Autumn,Success (main peak),8586.0,9,0,1,0,False
Kangchenjunga,1983,Autumn,Success (main peak),8586.0,5,0,0,0,False
Baruntse,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6300.0,10,0,2,0,False
Baruntse,1983,Autumn,Success (subpeak),7057.0,6,0,0,0,False
Makalu II,1983,Autumn,Success (main peak),7678.0,6,0,0,0,False
Tukuche,1983,Autumn,Did not reach base camp,7300.0,9,0,0,0,False
Gangapurna,1983,Autumn,Success (main peak),7455.0,10,0,0,0,False
Gangapurna,1983,Autumn,Lack (or loss) of supplies or equipment,5335.0,9,0,1,0,False
Ama Dablam,1983,Winter,Success (main peak),6814.0,3,0,0,0,False
Annapurna I,1983,Winter,"Bad weather (storms, high winds)",6900.0,4,0,3,0,False
Kang Guru,1983,Winter,Success (main peak),6981.0,4,0,0,0,False
Numbur,1983,Winter,Success (main peak),6958.0,6,0,6,0,False
Tilicho,1983,Winter,Success (main peak),7134.0,4,0,0,0,False
Api Main,1983,Winter,Success (main peak),7132.0,8,1,0,0,False
Manaslu,1983,Winter,Success (main peak),8163.0,11,1,0,0,False
Makalu,1985,Spring,"Bad weather (storms, high winds)",8430.0,4,0,0,0,False
Cho Oyu,1985,Spring,Success (main peak),8188.0,11,0,0,0,False
Dhaulagiri I,1985,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000.0,7,0,0,0,False
Tukuche,1985,Spring,Success (main peak),6920.0,7,0,0,0,False
Pumori,1985,Spring,Success (main peak),7138.0,4,0,0,0,False
Makalu II,1985,Spring,Success (main peak),7678.0,5,0,0,0,False
Himalchuli East,1985,Spring,Success (main peak),7893.0,12,2,3,0,False
Ama Dablam,1985,Spring,Success (main peak),6814.0,7,0,0,0,False
Lhotse Shar,1985,Spring,"Illness, AMS, exhaustion, or frostbite",8100.0,1,0,4,0,False
Gurja Himal,1985,Spring,Success (main peak),7193.0,8,1,6,0,False
Kangchenjunga,1985,Spring,"Bad weather (storms, high winds)",7900.0,6,0,3,0,True
Annapurna I,1985,Spring,Success (main peak),8091.0,5,0,3,0,False
Dhaulagiri I,1985,Spring,Success (main peak),8167.0,2,0,2,0,False
Cho Oyu,1985,Spring,Success (main peak),8188.0,12,0,0,0,True
Ngojumba Kang I,1985,Spring,Success (main peak),7916.0,3,0,0,0,False
Nilgiri North,1985,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,9,0,1,0,False
Annapurna III,1985,Spring,Success (main peak),7555.0,22,0,3,0,False
Annapurna South,1985,Spring,Lack (or loss) of supplies or equipment,5650.0,7,0,2,0,False
Cholatse,1985,Spring,Success (main peak),6440.0,7,0,0,0,False
Ama Dablam,1985,Spring,Success (main peak),6814.0,7,1,0,0,False
Tawoche,1985,Spring,Success (main peak),6495.0,7,0,0,0,False
Yalung Kang,1985,Spring,Success (main peak),8505.0,15,1,7,0,True
Ohmi Kangri,1985,Spring,Success (main peak),6839.0,10,0,3,0,False
Gaurishankar,1985,Spring,Accident (death or serious injury),6500.0,2,1,0,0,False
Gurja Himal,1985,Spring,Success (main peak),7193.0,9,1,3,0,True
Cho Oyu,1985,Spring,Success (main peak),8188.0,11,0,0,0,True
Pumori,1985,Spring,Success (main peak),7138.0,8,0,3,0,False
Chobuje,1985,Spring,Success (main peak),6686.0,5,0,0,0,False
Manaslu,1985,Spring,Success (main peak),8163.0,7,1,3,0,False
Ganesh I,1985,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6200.0,3,0,3,0,False
Himalchuli North,1985,Autumn,Success (main peak),7331.0,8,0,6,0,False
Ama Dablam,1985,Autumn,Success (main peak),6814.0,5,0,2,0,False
Kusum Kanguru,1985,Autumn,Success (main peak),6370.0,4,0,0,0,False
Manaslu,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6300.0,6,0,0,0,False
Tukuche,1985,Autumn,Success (main peak),6920.0,4,0,3,0,False
Dhaulagiri I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7250.0,18,0,0,0,False
Baruntse,1985,Autumn,Success (main peak),7152.0,15,0,2,0,False
Manaslu North,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",4950.0,16,0,2,0,True
Kagmara I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5700.0,7,0,0,0,False
Saipal,1985,Autumn,Success (main peak),7030.0,13,0,0,0,False
Annapurna South,1985,Autumn,Accident (death or serious injury),6500.0,11,2,0,0,False
Makalu II,1985,Autumn,Accident (death or serious injury),7450.0,10,2,2,0,False
Thamserku,1985,Autumn,Success (main peak),6618.0,7,0,3,0,False
Gangapurna,1985,Autumn,"Bad weather (storms, high winds)",6600.0,5,0,0,0,False
Annapurna I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000.0,5,0,6,0,False
Annapurna South,1985,Autumn,Accident (death or serious injury),6500.0,6,1,0,0,False
Kang Guru,1985,Autumn,Accident (death or serious injury),6000.0,7,1,4,0,False
Ama Dablam,1985,Autumn,Success (main peak),6814.0,22,0,3,0,False
Baruntse,1985,Autumn,Did not reach base camp,7300.0,13,0,0,0,False
Manaslu,1985,Autumn,Accident (death or serious injury),7200.0,15,0,10,1,False
Kirat Chuli,1985,Autumn,"Bad weather (storms, high winds)",7300.0,31,0,0,0,False
Makalu II,1985,Autumn,Success (main peak),7678.0,10,2,5,0,False
Cho Oyu,1985,Autumn,Success (main peak),8188.0,4,0,2,0,False
Gaurishankar,1985,Autumn,"Illness, AMS, exhaustion, or frostbite",6200.0,5,0,3,0,False
Langtang Lirung,1985,Autumn,Accident (death or serious injury),5030.0,7,2,1,1,False
Manaslu,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6250.0,9,0,8,0,False
Dhaulagiri II,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7200.0,4,0,3,0,False
Langshisa Ri,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,9,0,2,0,False
Dorje Lhakpa,1985,Autumn,Success (main peak),6966.0,9,0,3,0,False
Himalchuli West,1985,Autumn,"Bad weather (storms, high winds)",4875.0,6,0,2,0,False
Ganesh IV,1985,Autumn,Accident (death or serious injury),6700.0,4,3,2,0,False
Himalchuli North,1985,Autumn,Success (main peak),7331.0,12,0,0,0,False
Gangapurna,1985,Autumn,Success (main peak),7455.0,13,0,0,0,False
Makalu,1985,Autumn,Success (main peak),8485.0,6,0,1,0,False
Nilgiri South,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5900.0,4,0,1,0,False
Annapurna III,1985,Autumn,Did not reach base camp,5000.0,5,0,0,0,False
Dhaulagiri I,1985,Autumn,"Bad weather (storms, high winds)",7600.0,6,0,0,0,False
Kangchenjunga Central,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200.0,1,0,2,0,False
Annapurna I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5600.0,2,0,0,0,False
Dhaulagiri I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5400.0,2,0,1,0,False
Tilicho,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6750.0,8,0,1,0,False
Nilgiri North,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200.0,7,0,0,0,False
Himalchuli East,1985,Autumn,Success (main peak),7893.0,6,0,1,0,True
Gaurishankar,1985,Winter,Success (main peak),7135.0,4,0,2,0,False
Ama Dablam,1985,Winter,Success (main peak),6814.0,2,0,0,0,False
Annapurna I,1985,Winter,"Bad weather (storms, high winds)",7300.0,16,0,4,0,False
Cho Oyu,1985,Winter,Success (main peak),8188.0,6,0,0,0,False
Makalu,1985,Winter,"Bad weather (storms, high winds)",7520.0,7,0,3,0,False
Kangtega,1985,Winter,Success (main peak),6783.0,10,0,1,0,False
Karyolung,1985,Winter,"Bad weather (storms, high winds)",6400.0,4,0,2,0,False
Manaslu,1985,Winter,Success (main peak),8163.0,2,0,0,0,False
Makalu,1985,Winter,"Bad weather (storms, high winds)",7500.0,6,0,4,0,False
Ama Dablam,1985,Winter,"Bad weather (storms, high winds)",6100.0,5,0,0,0,False
Kangchenjunga,1985,Winter,Success (main peak),8586.0,19,1,0,0,False
Dhaulagiri I,1985,Winter,Success (main peak),8167.0,4,0,0,0,False
Pumori,1986,Winter,Success (main peak),7138.0,2,0,1,0,False
Nuptse,1986,Winter,"Illness, AMS, exhaustion, or frostbite",6700.0,2,0,0,0,False
Makalu,1986,Winter,"Bad weather (storms, high winds)",7500.0,2,0,0,0,False
Pumori,1986,Winter,Success (main peak),7138.0,3,0,1,0,False
Lobuje West,1986,Winter,Success (main peak),6135.0,5,0,2,0,False
Ama Dablam,1986,Winter,"Bad weather (storms, high winds)",6100.0,4,0,0,0,False
Nemjung,1987,Spring,"Bad weather (storms, high winds)",6100.0,4,0,0,0,False
Makalu,1987,Spring,Success (main peak),8485.0,9,0,4,0,True
Cho Oyu,1987,Spring,"Bad weather (storms, high winds)",7600.0,6,0,2,0,False
Chamlang,1987,Spring,"Illness, AMS, exhaustion, or frostbite",6750.0,2,0,0,0,False
Jannu,1987,Spring,"Bad weather (storms, high winds)",6400.0,7,0,1,0,False
Cho Oyu,1987,Spring,Success (main peak),8188.0,4,0,3,0,False
Annapurna I,1987,Spring,Accident (death or serious injury),6850.0,10,1,1,0,False
Pumori,1987,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5500.0,4,0,0,0,False
Lhotse Shar,1987,Spring,Success (main peak),8382.0,13,0,6,0,False
Gangapurna,1987,Spring,"Bad weather (storms, high winds)",5500.0,5,0,5,0,False
Ama Dablam,1987,Spring,Success (main peak),6814.0,5,0,1,0,False
Dhaulagiri I,1987,Spring,"Bad weather (storms, high winds)",7955.0,9,0,7,0,True
Cho Oyu,1987,Spring,Success (main peak),8188.0,27,0,0,0,False
Kangchenjunga,1987,Spring,"Illness, AMS, exhaustion, or frostbite",7350.0,2,0,0,0,False
Makalu II,1987,Spring,"Bad weather (storms, high winds)",7400.0,4,0,0,0,False
Churen Himal East,1987,Spring,"Route technically too difficult, lack of experience, strength, or motivation",7200.0,8,0,5,0,False
Tilicho,1987,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7050.0,5,0,2,0,False
Annapurna I,1987,Spring,"Illness, AMS, exhaustion, or frostbite",5600.0,5,0,0,0,False
Makalu,1987,Spring,"Illness, AMS, exhaustion, or frostbite",7600.0,5,0,2,0,False
Ama Dablam,1987,Spring,Success (main peak),6814.0,6,0,0,0,False
Manaslu,1987,Spring,"Route technically too difficult, lack of experience, strength, or motivation",7100.0,6,0,0,0,False
Manaslu,1987,Spring,Lack (or loss) of supplies or equipment,5600.0,2,0,2,0,False
Lhotse Shar,1987,Spring,"Bad weather (storms, high winds)",7450.0,13,0,4,0,False
Langtang Ri,1987,Spring,Success (main peak),7205.0,6,0,3,0,False
Cho Oyu,1987,Autumn,Success (main peak),8188.0,2,0,2,0,False
Tilicho,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5800.0,4,0,0,0,False
Leonpo Gang,1987,Autumn,Success (main peak),6979.0,6,0,4,0,False
Ama Dablam,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6370.0,4,0,1,0,False
Cho Oyu,1987,Autumn,Success (main peak),8188.0,10,0,1,0,False
Nuptse,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5640.0,2,0,0,0,False
Kangchenjunga,1987,Autumn,Success (main peak),8586.0,2,0,0,0,False
Ama Dablam,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,10,0,0,0,False
Dhaulagiri I,1987,Autumn,Success (main peak),8167.0,4,0,1,0,False
Ama Dablam,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5700.0,5,0,1,0,False
Annapurna South,1987,Autumn,"Bad weather (storms, high winds)",6300.0,10,0,2,0,False
Manaslu,1987,Autumn,Accident (death or serious injury),6500.0,15,1,5,0,True
Tawoche,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6350.0,10,0,0,0,False
Ama Dablam,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5600.0,17,0,0,0,False
Dhaulagiri V,1987,Autumn,"Bad weather (storms, high winds)",7080.0,4,0,2,0,False
Jannu,1987,Autumn,Success (main peak),7711.0,8,0,2,0,False
Dhaulagiri I,1987,Autumn,Lack (or loss) of supplies or equipment,7050.0,5,0,3,0,False
Cho Oyu,1987,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",7400.0,2,0,2,0,False
Pumori,1987,Autumn,Success (main peak),7138.0,4,0,0,0,False
Pumori,1987,Autumn,Success (main peak),7138.0,11,0,4,0,False
Dhaulagiri I,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",4300.0,3,0,1,0,False
Ganesh V,1987,Autumn,Success (main peak),6770.0,5,0,3,0,False
Cho Oyu,1987,Autumn,Success (main peak),8188.0,8,0,5,0,True
Kanjiroba South,1987,Autumn,Did not attempt climb,7300.0,6,0,0,0,False
Khatang,1987,Autumn,Success (main peak),6790.0,15,0,0,0,True
Langshisa Ri,1987,Autumn,Lack of time,6145.0,7,0,1,0,False
Lhotse Shar,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000.0,4,0,0,0,False
Lhotse Shar,1987,Autumn,Accident (death or serious injury),7800.0,8,4,0,0,False
Jannu,1987,Autumn,Success (main peak),7711.0,6,2,0,0,False
Nuptse,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6700.0,2,0,0,0,False
Cho Oyu,1987,Autumn,Success (main peak),8188.0,2,0,0,0,False
Pumori,1987,Autumn,Success (main peak),7138.0,8,0,5,0,False
Makalu II,1987,Autumn,"Bad weather (storms, high winds)",6800.0,10,1,1,2,True
Saipal,1987,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6200.0,3,0,2,0,False
Sita Chuchura,1987,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6000.0,8,0,1,0,False
Tukuche,1987,Autumn,Success (main peak),6920.0,11,0,1,0,False
Dhaulagiri I,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8000.0,4,0,1,0,False
Cho Oyu,1987,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7600.0,3,0,0,0,False
Annapurna I,1987,Autumn,Success (main peak),8091.0,7,0,3,0,False
Manaslu,1987,Autumn,Success (main peak),8163.0,10,0,3,0,False
Annapurna I,1987,Autumn,Success (main peak),8091.0,3,0,1,0,False
Ngojumba Kang II,1987,Autumn,Success (main peak),7743.0,13,0,2,0,False
Kangchenjunga,1987,Winter,Success (main peak),8586.0,9,1,9,1,True
Ngojumba Kang I,1987,Winter,Success (main peak),7916.0,10,0,8,0,False
Annapurna I,1987,Winter,Lack (or loss) of supplies or equipment,6115.0,9,0,1,0,False
Ama Dablam,1987,Winter,Success (main peak),6814.0,6,0,0,0,False
Dhaulagiri I,1987,Winter,Success (main peak),8167.0,9,0,11,0,True
Cho Oyu,1987,Winter,Success (main peak),8188.0,1,0,2,0,False
